HoleID,Depth (feet),Elevation (feet),q_c (tsf),f_s (tsf),U_2 (ft-head),B_q,q_t (tsf),U_0 (ft-head),R_f (%),F_r,Q_t,Ic,Q_tn,Icn,Zone_Icn,SBT_Icn,Zone_LCPC,Q_s (Tons),Q_b (Tons),Q_ult (Tons)
"CPT-08",-0.0656168,9.9343832,1.47242462,0.01044273,-0.00334562,"",1.47242462,"",0.70921986,0.71060308,"","","","","","","","","",""
"CPT-08",-0.1312336,9.8687664,6.25519395,0.01044273,-0.01338249,"",6.25519395,"",0.16694491,0.16709804,"","","","","","","","","",""
"CPT-08",-0.19685039,9.80314961,11.11106238,0.01044273,0.04683872,"",11.11135477,"",0.1,0.1,"","","","","","","","","",""
"CPT-08",-0.26246719,9.73753281,17.98237727,0.01044273,-0.04683872,"",17.98237727,"",0.1,0.1,"","","","","","","","","",""
"CPT-08",-0.32808399,9.67191601,27.06755046,0.01044273,-0.13382492,"",27.06755046,"",0.1,0.1,"","","","","","","","","",""
"CPT-08",-0.39370079,9.60629921,33.37495805,0.02088546,-0.26095859,"",33.37495805,"",0.1,0.1,"","","","","","","","","",""
"CPT-08",-0.45931759,9.54068241,42.67942852,0.03132818,-0.48511532,"",42.67942852,"",0.1,0.1,"","","","","","","","","",""
"CPT-08",-0.52493438,9.47506562,53.87403272,0.04177091,-0.64905085,"",53.87403272,"",0.1,0.1,"","","","","","","","","",""
"CPT-08",-0.59055118,9.40944882,68.83846165,0.10442728,-0.70592644,"",68.83846165,"",0.15169903,0.15175941,"","","","","","","","","",""
"CPT-08",-0.65616798,9.34383202,85.07690338,0.16708364,-1.0070325,"",85.07690338,"",0.19639131,0.19646275,"","","","","","","","","",""
"CPT-08",-0.72178478,9.27821522,95.06015116,0.15664092,-1.35163166,"",95.06015116,"",0.16478084,0.16484062,"","","","","","","","","",""
"CPT-08",-0.78740157,9.21259843,109.37713097,0.19841183,-2.10439682,"",109.37713097,"",0.18140157,0.18146474,"","","","","","","","","",""
"CPT-08",-0.85301837,9.14698163,117.58511502,0.28195365,-2.57612965,"",117.58511502,"",0.23978686,0.23987207,"","","","","","","","","",""
"CPT-08",-0.91863517,9.08136483,120.73881881,0.34461002,-2.63300524,"",120.73881881,"",0.28541775,0.28552539,"","","","","","","","","",""
"CPT-08",-0.98425197,9.01574803,121.96061797,0.38638093,-2.37539227,"",121.96061797,"",0.31680795,0.31693604,"","","","","","","","","",""
"CPT-08",-1.04986877,8.95013123,124.43554446,0.39682366,-2.07763183,"",124.43554446,"",0.31889896,0.31903503,"","","","","","","","","",""
