HoleID,Depth (feet),Elevation (feet),q_c (tsf),f_s (tsf),U_2 (ft-head),B_q,q_t (tsf),U_0 (ft-head),R_f (%),F_r,Q_t,Ic,Q_tn,Icn,Zone_Icn,SBT_Icn,Zone_LCPC,Q_s (Tons),Q_b (Tons),Q_ult (Tons)
"CPT-12",-0.0656168,9.9343832,0.16708364,0,0,0,0.16708364,0,0.1,0.1,57.29573096,1.72595637,3.47301445,2.93754317,1,"Silt_Mixtures",1,0.00133944,0.07144584,0.07278528
"CPT-12",-0.1312336,9.8687664,5.09605117,0,0.00334562,2.051e-05,5.09607205,0,0.1,0.1,888.01354067,1,65.36088062,1.6692432,6,"Sands_Clean_Sands",4,0.03197931,2.17910705,2.21108636
"CPT-12",-0.19685039,9.80314961,14.13945344,0,-0.01003687,-2.217e-05,14.13945344,0,0.1,0.1,1000,1,148.14736596,1.31779978,6,"Sands_Clean_Sands",4,0.11699202,6.04610421,6.16309623
"CPT-12",-0.26246719,9.73753281,22.79647479,0.01044273,0.01003687,1.375e-05,22.79653744,0,0.1,0.1,1000,1,206.02895504,1.17681854,7,"Gravelly_sand_Dense_Sand",4,0.25405499,9.74791859,10.00197358
"CPT-12",-0.32808399,9.67191601,34.19993354,0.01044273,-0.05687559,-5.193e-05,34.19993354,0,0.1,0.1,1000,1,274.58181892,1.05453208,7,"Gravelly_sand_Dense_Sand",4,0.45968028,14.62407038,15.08375066
"CPT-12",-0.39370079,9.60629921,42.56455851,0.01044273,-0.33456229,-0.00024544,42.56455851,0,0.1,0.1,1000,1,309.94219594,1.0031408,7,"Gravelly_sand_Dense_Sand",4,0.71559743,18.20082775,18.91642518
"CPT-12",-0.45931759,9.54068241,54.78255003,0.02088546,-0.61559462,-0.00035088,54.78255003,0,0.1,0.1,1000,1,366.93066258,1,7,"Gravelly_sand_Dense_Sand",5,0.93518221,23.4253048,24.36048701
"CPT-12",-0.52493438,9.47506562,65.15217874,0.08354182,-0.73603704,-0.00035275,65.15217874,0,0.12822568,0.12827373,1000,1,405.2766524,1,7,"Gravelly_sand_Dense_Sand",5,1.19633156,27.85941225,29.05574381
"CPT-12",-0.59055118,9.40944882,79.23941854,0.12531273,-0.73938267,-0.00029135,79.23941854,0,0.15814444,0.15820009,1000,1,461.22614118,1,7,"Gravelly_sand_Dense_Sand",5,1.51394676,33.88318963,35.39713639
"CPT-12",-0.65616798,9.34383202,108.31197273,0.14619819,-0.80629512,-0.00023242,108.31197273,0,0.13497879,0.13501794,1000,1,593.98622629,1,7,"Gravelly_sand_Dense_Sand",5,1.94809342,46.3147658,48.26285922
