HoleID,Depth (feet),Elevation (feet),q_c (tsf),f_s (tsf),U_2 (ft-head),B_q,q_t (tsf),U_0 (ft-head),R_f (%),F_r,Q_t,Ic,Q_tn,Icn,Zone_Icn,SBT_Icn,Zone_LCPC,Q_s (Tons),Q_b (Tons),Q_ult (Tons)
"CPT-10",-0.0656168,9.9343832,0,0,-0.02007374,"",0,0,"","","","","","","","","","","",""
"CPT-10",-0.1312336,9.8687664,2.17208738,0.02088546,-0.04683872,"-0.00067397",2.17208738,0,"0.96154","0.96281","756.8445","1.3408","39.39036","2.2277","5","Sand_Mixtures","4","0.01305956","0.928796","0.9418555"
"CPT-10",-0.19685039,9.80314961,3.65495473,0.02088546,-0.03680185,"-0.00031478",3.65495473,0,"0.57143","0.57233","636.6096","1.183","46.85667","2.0477","6","Sands_Clean_Sands","4","0.03503478","1.56288","1.597913"
"CPT-10",-0.26246719,9.73753281,5.9732403,0.02088546,-0.04683872,"-0.00024511",5.9732403,0,"0.34965","0.35015","693.6908","1","62.53309","1.8401","6","Sands_Clean_Sands","4","0.07094857","2.55419","2.625137"
"CPT-10",-0.32808399,9.67191601,7.91558767,0.02088546,-0.05018434,"-0.00019818",7.91558767,0,"0.26385","0.26423","689.4401","1","71.76453","1.7371","6","Sands_Clean_Sands","4","0.1185406","3.38475","3.503287"
"CPT-10",-0.39370079,9.60629921,9.39845502,0.03132818,-0.11375118,"-0.00037836",9.39845502,0,"0.33333","0.33385","650.3008","1","75.94277","1.7548","6","Sands_Clean_Sands","4","0.1750483","4.01883","4.193877"
"CPT-10",-0.45931759,9.54068241,12.07179334,0.02088546,-0.15724428,"-0.00040716",12.07179334,0,"0.17301","0.17326","696.0377","1","89.04822","1.5881","6","Sands_Clean_Sands","4","0.2476294","5.16196","5.409591"
"CPT-10",-0.52493438,9.47506562,13.86794252,0.02088546,-0.14051616,"-0.00031673",13.86794252,0,"0.1506","0.15082","684.9126","1","94.67635","1.546","6","Sands_Clean_Sands","4","0.3310096","5.93","6.261014"
"CPT-10",-0.59055118,9.40944882,15.63276352,0.02088546,-0.16393552,"-0.00032781",15.63276352,0,"0.1336","0.1338","674.9428","1","99.78485","1.5112","6","Sands_Clean_Sands","4","0.4250008","6.68465","7.109652"
"CPT-10",-0.65616798,9.34383202,17.55422543,0.01044273,-0.16728115,"-0.00029788",17.55422543,0,"0.1","0.1","674.0582","1","105.6701","1.4627","6","Sands_Clean_Sands","4","0.5305446","7.50628","8.036823"
"CPT-10",-0.72178478,9.27821522,18.75513913,0.01044273,-0.21746549,"-0.00036247",18.75513913,0,"0.1","0.1","647.9247","1","107.0834","1.457","6","Sands_Clean_Sands","4","0.6433089","8.0198","8.663104"
"CPT-10",-0.78740157,9.21259843,20.16490738,0.01044273,-0.17397239,"-0.00026972",20.16490738,0,"0.1","0.1","632.6597","1","109.7173","1.4466","6","Sands_Clean_Sands","4","0.7645493","8.62262","9.387169"
"CPT-10",-0.85301837,9.14698163,21.21962289,0.01044273,-0.15389865,"-0.00022675",21.21962289,0,"0.1","0.1","609.4557","1","110.4635","1.4436","6","Sands_Clean_Sands","4","0.8921312","9.07362","9.965753"
"CPT-10",-0.91863517,9.08136483,23.38126754,0.01044273,-0.1605899,"-0.00021473",23.38126754,0,"0.1","0.1","618.7206","1","116.833","1.4196","6","Sands_Clean_Sands","4","1.03271","9.99795","11.03066"
"CPT-10",-0.98425197,9.01574803,24.94767671,0.02088546,-0.26095859,"-0.00032703",24.94767671,0,"0.1","0.1","611.6956","1","119.9949","1.4081","6","Sands_Clean_Sands","4","1.182706","10.6678","11.85046"
"CPT-10",-1.04986877,8.95013123,26.08593404,0.02088546,-0.30445169,"-0.0003649",26.08593404,0,"0.1","0.1","595.6405","1","121.0782","1.4043","6","Sands_Clean_Sands","4","1.339547","11.1545","12.49403"
"CPT-10",-1.11548556,8.88451444,27.03622227,0.02088546,-0.25761296,"-0.00029793",27.03622227,0,"0.1","0.1","577.4848","1","121.3675","1.4033","6","Sands_Clean_Sands","4","1.502101","11.5608","13.06293"
"CPT-10",-1.18110236,8.81889764,26.8586959,0.03132818,-0.04014748,"-4.6743e-05",26.8586959,0,"0.11664","0.11686","538.4827","1","116.8047","1.4317","6","Sands_Clean_Sands","4","1.663587","11.4849","13.14851"
"CPT-10",-1.24671916,8.75328084,28.19536506,0.04177091,-0.15055303,"-0.00016698",28.19536506,0,"0.14815","0.14843","531.9058","1","118.9414","1.4486","6","Sands_Clean_Sands","4","1.83311","12.0565","13.8896"
"CPT-10",-1.31233596,8.68766404,29.10388238,0.04177091,-0.03011061,"-3.2355e-05",29.10388238,0,"0.14352","0.1438","518.3972","1","119.2952","1.4437","6","Sands_Clean_Sands","4","2.008096","12.445","14.45307"
"CPT-10",-1.37795276,8.62204724,29.51114876,0.04177091,-0.02341936,"-2.482e-05",29.51114876,0,"0.14154","0.14183","497.8336","1","117.7156","1.4477","6","Sands_Clean_Sands","4","2.18553","12.6191","14.80465"
"CPT-10",-1.44356955,8.55643045,29.97062878,0.04177091,0.01338249,"1.3966e-05",29.97071233,0,"0.13937","0.13966","480.1643","1","116.5001","1.4504","6","Sands_Clean_Sands","4","2.365727","12.8156","15.18136"
"CPT-10",-1.50918635,8.49081365,30.36745244,0.04177091,0.01672811,"1.7231e-05",30.36755687,0,"0.13755","0.13785","463.2183","1","115.1766","1.4538","6","Sands_Clean_Sands","4","2.548311","12.9853","15.53364"
"CPT-10",-1.57480315,8.42519685,30.32568153,0.04177091,0.12713367,"0.00013115",30.32647518,0,"0.13774","0.13805","441.4312","1","112.3533","1.4644","6","Sands_Clean_Sands","4","2.730647","12.9678","15.69841"
"CPT-10",-1.64041995,8.35958005,30.09594152,0.04177091,0.22081111,"0.00022954",30.09731996,0,"0.13879","0.13912","418.9255","1","109.0308","1.4778","6","Sands_Clean_Sands","4","2.911605","12.8698","15.78138"
"CPT-10",-1.70603675,8.29396325,29.77221696,0.04177091,0.46169596,"0.00048521",29.77509915,0,"0.14029","0.14064","397.0625","1","105.571","1.4926","6","Sands_Clean_Sands","4","3.090627","12.732","15.82261"
