HoleID,Depth (feet),Elevation (feet),q_c (tsf),f_s (tsf),U_2 (ft-head),B_q,q_t (tsf),U_0 (ft-head),R_f (%),F_r,Q_t,Ic,Q_tn,Icn,Zone_Icn,SBT_Icn,Zone_LCPC,Q_s (Tons),Q_b (Tons),Q_ult (Tons)
CPT-05,-0.0656168,9.9343832,0.07309909,0.0,0.02341936,0.01038647,0.07324529,0.0,0.1,0.1,24.55539106,2.09145622,2.84595615,3.02378563,1,Clays_silty_clay_to_clay,1,0.00058718,0.03132007,0.03190725
CPT-05,-0.1312336,9.8687664,1.15914279,0.01044273,0.02676498,0.0007242,1.15930987,0.0,0.90077106,0.90524711,201.24246464,1.65680138,15.20689474,2.57284656,5,Sand_Mixtures,4,0.00755747,0.49572696,0.50328443
CPT-05,-0.19685039,9.80314961,1.61862281,0.01044273,-0.00334562,-6.486e-05,1.61862281,0.0,0.64516129,0.64860681,187.24663124,1.5808852,16.8794367,2.46868977,5,Sand_Mixtures,4,0.01728935,0.69213158,0.70942093
CPT-05,-0.26246719,9.73753281,3.24768835,0.01044273,0.0736037,0.0007098,3.24814783,0.0,0.32149792,0.32263669,282.32089597,1.2529599,29.38707276,2.13035251,5,Sand_Mixtures,4,0.03681867,1.38892499,1.42574366
CPT-05,-0.32808399,9.67191601,5.71217211,0.01044273,-0.02007374,-0.00010997,5.71217211,0.0,0.18281536,0.18327516,397.59706046,1.0,46.27127601,1.86823172,6,Sands_Clean_Sands,4,0.0711628,2.44255466,2.51371746
CPT-05,-0.39370079,9.60629921,10.70379599,0.01044273,-0.0736037,-0.00021498,10.70379599,0.0,0.1,0.1,621.42837747,1.0,79.22276859,1.58647795,6,Sands_Clean_Sands,4,0.1355188,4.57699913,4.71251793
CPT-05,-0.45931759,9.54068241,15.11062713,0.0,-0.11375118,-0.00023528,15.11062713,0.0,0.1,0.1,752.16002414,1.0,103.57205107,1.47129846,6,Sands_Clean_Sands,4,0.22637065,6.46138316,6.68775381
CPT-05,-0.52493438,9.47506562,20.48863194,0.0,-0.22081111,-0.00033677,20.48863194,0.0,0.1,0.1,890.23163851,1.0,131.21966433,1.36978353,6,Sands_Clean_Sands,4,0.34955746,8.76104613,9.1106036
CPT-05,-0.59055118,9.40944882,24.80147852,0.0,-0.31114293,-0.00039199,24.80147852,0.0,0.1,0.1,953.76902428,1.0,149.44023922,1.31407927,6,Sands_Clean_Sands,4,0.49867504,10.60524188,11.10391692
CPT-05,-0.65616798,9.34383202,29.40672148,0.01044273,-0.45500472,-0.00048343,29.40672148,0.0,0.1,0.1,1000.0,1.0,167.6552283,1.26486235,7,Gravelly_sand_Dense_Sand,4,0.67548139,12.57446785,13.24994923
CPT-05,-0.72178478,9.27821522,34.61764265,0.04177091,-0.42154849,-0.00038044,34.61764265,0.0,0.12066365,0.12077584,1000.0,1.0,187.4944682,1.23451553,7,Gravelly_sand_Dense_Sand,4,0.88361813,14.80268498,15.68630311
CPT-05,-0.78740157,9.21259843,40.49689841,0.07309909,-0.58548401,-0.00045166,40.49689841,0.0,0.18050542,0.18066353,1000.0,1.0,208.93381804,1.24494392,7,Gravelly_sand_Dense_Sand,4,1.12710358,17.31668548,18.44378906
CPT-05,-0.85301837,9.14698163,50.49058891,0.11487001,-0.6423596,-0.00039741,50.49058891,0.0,0.22750776,0.22768297,1000.0,1.0,248.81948373,1.21944041,7,Gravelly_sand_Dense_Sand,4,1.43067557,21.59003978,23.02071536
CPT-05,-0.91863517,9.08136483,59.97258575,0.14619819,-0.72600017,-0.00037812,59.97258575,0.0,0.24377503,0.24394725,1000.0,1.0,283.1448244,1.18537538,7,Gravelly_sand_Dense_Sand,5,1.67106357,25.64459121,27.31565477
CPT-05,-0.98425197,9.01574803,72.58740093,0.20885456,-0.87320758,-0.00037572,72.58740093,0.0,0.28772838,0.28791054,1000.0,1.0,329.07949729,1.17005408,7,Gravelly_sand_Dense_Sand,5,1.9620155,31.03875213,33.00076763
CPT-05,-1.04986877,8.95013123,85.65125341,0.26106819,-0.95350253,-0.00034768,85.65125341,0.0,0.30480371,0.30498023,1000.0,1.0,373.75143588,1.14076997,7,Gravelly_sand_Dense_Sand,5,2.30533124,36.62492375,38.93025499
CPT-05,-1.11548556,8.88451444,91.96910373,0.28195365,-1.0940187,-0.00037151,91.96910373,0.0,0.30657432,0.30675193,1000.0,1.0,387.22185757,1.13028452,7,Gravelly_sand_Dense_Sand,5,2.67397082,39.32646957,42.00044039
CPT-05,-1.18110236,8.81889764,97.47242128,0.28195365,-1.23453486,-0.00039556,97.47242128,0.0,0.28926505,0.28943411,1000.0,1.0,396.90416492,1.10620915,7,Gravelly_sand_Dense_Sand,5,3.06466932,41.67971693,44.74438625
CPT-05,-1.24671916,8.75328084,88.56477447,0.14619819,-0.25092172,-8.849e-05,88.56477447,0.0,0.16507487,0.16518762,1000.0,1.0,349.95550643,1.02434199,7,Gravelly_sand_Dense_Sand,5,3.41966333,37.87076058,41.29042391
CPT-05,-1.31233596,8.68766404,102.08810697,0.14619819,-0.30445169,-9.314e-05,102.08810697,0.0,0.14320786,0.14329765,1000.0,1.0,392.13793371,1.0,7,Gravelly_sand_Dense_Sand,5,3.82886288,43.65340826,47.48227114
CPT-05,-1.37795276,8.62204724,108.94897913,0.14619819,-0.35129041,-0.0001007,108.94897913,0.0,0.13418959,0.13427279,1000.0,1.0,407.4005624,1.0,7,Gravelly_sand_Dense_Sand,5,4.26556286,46.58715306,50.85271592
CPT-05,-1.44356955,8.55643045,113.41846663,0.15664092,-0.28103233,-7.739e-05,113.41846663,0.0,0.13810883,0.13819541,1000.0,1.0,413.37634216,1.0,7,Gravelly_sand_Dense_Sand,5,4.72017787,48.49832929,53.21850715
CPT-05,-1.50918635,8.49081365,121.46980976,0.17752637,-0.69254394,-0.00017807,121.46980976,0.0,0.14614856,0.14623842,1000.0,1.0,431.95798601,1.0,7,Gravelly_sand_Dense_Sand,5,5.20706506,51.9411257,57.14819076
CPT-05,-1.57480315,8.42519685,127.99651464,0.19841183,-2.06424934,-0.00050369,127.99651464,0.0,0.15501346,0.1551083,1000.0,1.0,444.52380888,1.0,7,Gravelly_sand_Dense_Sand,6,5.50843952,41.04898412,46.55742365
CPT-05,-1.64041995,8.35958005,131.65146936,0.20885456,-2.3787379,-0.00056432,131.65146936,0.0,0.15864202,0.15874077,1000.0,1.0,446.9575549,1.0,7,Gravelly_sand_Dense_Sand,6,5.80981399,42.22114243,48.03095642
CPT-05,-1.70603675,8.29396325,134.84694407,0.21929728,-2.36200978,-0.00054708,134.84694407,0.0,0.16262681,0.16273004,1000.0,1.0,447.9377455,1.0,7,Gravelly_sand_Dense_Sand,6,6.11118846,43.2459437,49.35713216
CPT-05,-1.77165354,8.22834646,138.23038788,0.21929728,-2.16461803,-0.0004891,138.23038788,0.0,0.15864622,0.15874864,1000.0,1.0,449.6832594,1.0,7,Gravelly_sand_Dense_Sand,6,6.41256292,44.3310274,50.74359032
