HoleID,Depth (feet),Elevation (feet),q_c (tsf),f_s (tsf),U_2 (ft-head),B_q,q_t (tsf),U_0 (ft-head),R_f (%),F_r,Q_t,Ic,Q_tn,Icn,Zone_Icn,SBT_Icn,Zone_LCPC,Q_s (Tons),Q_b (Tons),Q_ult (Tons)
"CPT-03",-0.0656168,9.9343832,4.78276933,0,0.01338249,8.739e-05,4.78285287,0,0.1,0.1,1000,1,86.79861835,1.54720813,6,"Sands_Clean_Sands",4,0.02875665,2.04517289,2.07392954
"CPT-03",-0.1312336,9.8687664,26.4827577,0,-0.01003687,-1.183e-05,26.4827577,0,0.1,0.1,1000,1,335.82942587,1,7,"Gravelly_sand_Dense_Sand",4,0.18798283,11.32416564,11.51214847
"CPT-03",-0.19685039,9.80314961,58.36440567,0,-0.07025808,-3.758e-05,58.36440567,0,0.1,0.1,1000,1,593.53330675,1,7,"Gravelly_sand_Dense_Sand",5,0.42192475,24.956925,25.37884975
"CPT-03",-0.26246719,9.73753281,66.17556606,0,-0.0869862,-4.104e-05,66.17556606,0,0.1,0.1,1000,1,576.75539773,1,7,"Gravelly_sand_Dense_Sand",5,0.68717614,28.29701802,28.98419416
"CPT-03",-0.32808399,9.67191601,68.34765345,0,-0.18400926,-8.405e-05,68.34765345,0,0.1,0.1,1000,1,529.33919096,1,7,"Gravelly_sand_Dense_Sand",5,0.9611339,29.22581394,30.18694784
"CPT-03",-0.39370079,9.60629921,67.60621977,0,-0.22415674,-0.00010352,67.60621977,0,0.1,0.1,1000,1,475.96004004,1,7,"Gravelly_sand_Dense_Sand",5,1.23211978,28.90877302,30.1408928
"CPT-03",-0.45931759,9.54068241,64.10790596,0,-0.43493098,-0.00021183,64.10790596,0,0.1,0.1,1000,1,416.74653428,1,7,"Gravelly_sand_Dense_Sand",5,1.48908337,27.41287575,28.90195911
"CPT-03",-0.52493438,9.47506562,63.5231132,0,-0.33790792,-0.0001661,63.5231132,0,0.1,0.1,1000,1,385.53175653,1,7,"Gravelly_sand_Dense_Sand",5,1.74370293,27.16281531,28.90651824
"CPT-03",-0.59055118,9.40944882,67.98215797,0,-0.19404613,-8.913e-05,67.98215797,0,0.1,0.1,1000,1,388.27986379,1,7,"Gravelly_sand_Dense_Sand",5,2.01619568,29.06952616,31.08572184
"CPT-03",-0.65616798,9.34383202,83.62536422,0.03132818,-0.18735488,-6.996e-05,83.62536422,0,0.1,0.1,1000,1,452.01049321,1,7,"Gravelly_sand_Dense_Sand",5,2.35139106,35.75864294,38.11003399
"CPT-03",-0.72178478,9.27821522,100.59479689,0.07309909,-0.204083,-6.335e-05,100.59479689,0,0.1,0.1,1000,1,516.97069448,1,7,"Gravelly_sand_Dense_Sand",5,2.75460498,43.01486106,45.76946604
"CPT-03",-0.78740157,9.21259843,128.10094191,0.12531273,0.03345623,8.15e-06,128.10115077,0,0.1,0.1,1000,1,628.22686609,1,7,"Gravelly_sand_Dense_Sand",6,3.05597944,41.08254134,44.13852078
"CPT-03",-0.85301837,9.14698163,149.37277844,0.08354182,-0.62897711,-0.00013147,149.37277844,0,0.1,0.1,1000,1,701.439789,1,7,"Gravelly_sand_Dense_Sand",6,3.35735391,47.90443574,51.26178965
"CPT-03",-0.91863517,9.08136483,165.93494473,0.09398455,-0.74607391,-0.00014038,165.93494473,0,0.1,0.1,1000,1,748.43848115,1,7,"Gravelly_sand_Dense_Sand",6,3.65872837,53.21598741,56.87471579
