HoleID,Depth (feet),Elevation (feet),q_c (tsf),f_s (tsf),U_2 (ft-head),B_q,q_t (tsf),U_0 (ft-head),R_f (%),F_r,Q_t,Ic,Q_tn,Icn,Zone_Icn,SBT_Icn,Zone_LCPC,Q_s (Tons),Q_b (Tons),Q_ult (Tons)
CPT-09,-0.0656168,9.9343832,1.46198189,0.0,-0.00334562,-7.157e-05,1.46198189,0.0,0.1,0.1,509.08764593,1.0,26.49572863,2.05861338,5,Sand_Mixtures,4,0.00879009,0.6251511,0.63394119
CPT-09,-0.1312336,9.8687664,2.53758286,0.0,0.01003687,0.00012373,2.53764551,0.0,0.1,0.1,441.69413745,1.0,32.5102225,1.97030097,6,Sands_Clean_Sands,4,0.02404755,1.08511049,1.10915804
CPT-09,-0.19685039,9.80314961,3.82203837,0.0,-0.01672811,-0.00013692,3.82203837,0.0,0.1,0.1,443.5049486,1.0,39.97996471,1.88106693,6,Sands_Clean_Sands,4,0.04702735,1.63432359,1.68135094
CPT-09,-0.26246719,9.73753281,6.70423125,0.0,-0.01672811,-7.802e-05,6.70423125,0.0,0.1,0.1,583.77905123,1.0,60.76616255,1.70062826,6,Sands_Clean_Sands,4,0.08733619,2.86676433,2.95410052
CPT-09,-0.32808399,9.67191601,9.11650137,0.0,-0.06022121,-0.00020651,9.11650137,0.0,0.1,0.1,635.15216414,1.0,73.91729974,1.61629641,6,Sands_Clean_Sands,4,0.14214867,3.89826365,4.04041231
CPT-09,-0.39370079,9.60629921,11.25726057,0.0,-0.10371431,-0.00028801,11.25726057,0.0,0.1,0.1,653.61247894,1.0,83.32575731,1.56476352,6,Sands_Clean_Sands,4,0.20983235,4.81366347,5.02349582
CPT-09,-0.45931759,9.54068241,14.39007891,0.0,-0.14051616,-0.00030522,14.39007891,0.0,0.1,0.1,716.24568989,1.0,98.62666559,1.49231119,6,Sands_Clean_Sands,4,0.29635193,6.15327297,6.44962491
CPT-09,-0.52493438,9.47506562,17.10518814,0.0,-0.15724428,-0.00028732,17.10518814,0.0,0.1,0.1,744.93025266,1.0,109.66426794,1.44675972,6,Sands_Clean_Sands,4,0.39919597,7.31426787,7.71346384
CPT-09,-0.59055118,9.40944882,20.51996013,0.0,-0.20073738,-0.00030573,20.51996013,0.0,0.1,0.1,792.56360736,1.0,123.89855073,1.3943983,6,Sands_Clean_Sands,4,0.52257114,8.77444223,9.29701337
CPT-09,-0.65616798,9.34383202,23.97650303,0.0,-0.22415674,-0.00029216,23.97650303,0.0,0.1,0.1,830.52256304,1.0,137.10145132,1.35099108,6,Sands_Clean_Sands,4,0.6667286,10.25247804,10.91920664
CPT-09,-0.72178478,9.27821522,26.94223772,0.0,-0.30110606,-0.00034925,26.94223772,0.0,0.1,0.1,844.95648399,1.0,146.59254273,1.32231775,6,Sands_Clean_Sands,4,0.82871737,11.5206417,12.34935908
CPT-09,-0.78740157,9.21259843,29.03078328,0.0,-0.33790792,-0.00036375,29.03078328,0.0,0.1,0.1,831.16264667,1.0,150.91972328,1.3098614,7,Gravelly_sand_Dense_Sand,4,1.00326342,12.41371471,13.41697812
CPT-09,-0.85301837,9.14698163,31.09844339,0.01044273,-0.31783418,-0.0003194,31.09844339,0.0,0.1,0.1,818.55196377,1.0,155.01083212,1.29841183,7,Gravelly_sand_Dense_Sand,4,1.19024116,13.29785698,14.48809813
CPT-09,-0.91863517,9.08136483,32.16360162,0.02088546,-0.30445169,-0.00029583,32.16360162,0.0,0.1,0.1,783.16903438,1.0,154.19408541,1.30067305,7,Gravelly_sand_Dense_Sand,4,1.38362311,13.75332421,15.13694731
CPT-09,-0.98425197,9.01574803,32.75883711,0.02088546,-0.20742862,-0.00019791,32.75883711,0.0,0.1,0.1,741.95673898,1.0,151.45924016,1.30833367,7,Gravelly_sand_Dense_Sand,4,1.58058388,14.00785001,15.58843389
CPT-09,-1.04986877,8.95013123,33.51071351,0.03132818,-0.18735488,-0.00017476,33.51071351,0.0,0.1,0.1,709.33166316,1.0,149.77706353,1.31311532,6,Sands_Clean_Sands,4,1.78206526,14.32935629,16.11142156
CPT-09,-1.11548556,8.88451444,34.1477199,0.03132818,-0.19739175,-0.00018069,34.1477199,0.0,0.1,0.1,678.34293714,1.0,147.84966518,1.31866111,6,Sands_Clean_Sands,4,1.98737662,14.60174356,16.58912018
CPT-09,-1.18110236,8.81889764,30.09594152,0.02088546,-0.12044243,-0.00012513,30.09594152,0.0,0.1,0.1,563.49260202,1.0,126.4875479,1.38552997,6,Sands_Clean_Sands,4,2.16832687,12.86918194,15.03750881
CPT-09,-1.24671916,8.75328084,32.30979981,0.02088546,-0.05352997,-5.18e-05,32.30979981,0.0,0.1,0.1,572.00107779,1.0,132.04470059,1.36709688,6,Sands_Clean_Sands,4,2.36258783,13.81583932,16.17842715
CPT-09,-1.31233596,8.68766404,32.8319362,0.03132818,0.05018434,4.78e-05,32.83224948,0.0,0.1,0.1,551.13602248,1.0,130.65342258,1.37163731,6,Sands_Clean_Sands,4,2.55998999,14.03924153,16.59923152
CPT-09,-1.37795276,8.62204724,32.97813439,0.02088546,0.04683872,4.442e-05,32.97842679,0.0,0.1,0.1,526.29574045,1.0,127.9535694,1.38058906,6,Sands_Clean_Sands,4,2.75827103,14.10174771,16.86001874
CPT-09,-1.44356955,8.55643045,32.53953982,0.01044273,0.04014748,3.859e-05,32.53979045,0.0,0.1,0.1,494.90654729,1.0,123.24388186,1.39667039,6,Sands_Clean_Sands,4,2.95391479,13.91418451,16.86809931
CPT-09,-1.50918635,8.49081365,31.83987706,0.01044273,0.17397239,0.00017091,31.8409631,0.0,0.1,0.1,462.58600618,1.0,117.85693548,1.4158416,6,Sands_Clean_Sands,4,3.1453569,13.61536229,16.76071919
CPT-09,-1.57480315,8.42519685,30.67029155,0.03132818,0.19070051,0.00019452,30.67148202,0.0,0.10214108,0.10238056,426.51032971,1.0,111.06017231,1.44292555,6,Sands_Clean_Sands,4,3.32976756,13.11528606,16.44505362
CPT-09,-1.64041995,8.35958005,29.89752969,0.03132818,0.58213839,0.0006092,29.90116376,0.0,0.10477246,0.10503522,398.73340828,1.0,106.01715908,1.4646435,6,Sands_Clean_Sands,4,3.50954672,12.78589395,16.29544066
CPT-09,-1.70603675,8.29396325,28.04916687,0.05221364,0.19070051,0.00021279,28.05035734,0.0,0.18614251,0.18666142,358.71856696,1.03865783,97.38147372,1.56078408,6,Sands_Clean_Sands,4,3.678198,11.99447945,15.67267745
CPT-09,-1.77165354,8.22834646,26.42010133,0.07309909,-0.16393552,-0.00019427,26.42010133,0.0,0.27667984,0.27753314,324.24870842,1.16614798,89.8405535,1.65524696,6,Sands_Clean_Sands,4,3.83704746,11.29737345,15.13442092
CPT-09,-1.83727034,8.16272966,24.94767671,0.09398455,0.61224899,0.0007685,24.95149875,0.0,0.37666896,0.37794949,294.15110807,1.28014127,83.14407638,1.74325086,6,Sands_Clean_Sands,4,3.98706702,10.66939131,14.65645834
CPT-09,-1.90288714,8.09711286,25.02077581,0.09398455,0.75611078,0.00094638,25.02549592,0.0,0.3755552,0.37687813,283.87957274,1.2914922,81.79552597,1.74900749,6,Sands_Clean_Sands,4,4.13753149,10.70103289,14.83856438
CPT-09,-1.96850394,8.03149606,26.4096586,0.06265637,0.58882963,0.00069824,26.41333444,0.0,0.23721491,0.23803554,289.06297607,1.17221058,84.79937483,1.65303801,6,Sands_Clean_Sands,4,4.29634026,11.2944799,15.59082016
CPT-09,-2.03412073,7.96587927,27.08843591,0.02088546,0.67916145,0.00078518,27.09267566,0.0,0.1,0.1,286.98629468,1.03577268,85.57283314,1.55332252,6,Sands_Clean_Sands,4,4.45923354,11.58496975,16.04420329
