HoleID,Depth (feet),Elevation (feet),q_c (tsf),f_s (tsf),U_2 (ft-head),B_q,q_t (tsf),U_0 (ft-head),R_f (%),F_r,Q_t,Ic,Q_tn,Icn,Zone_Icn,SBT_Icn,Zone_LCPC,Q_s (Tons),Q_b (Tons),Q_ult (Tons)
CPT-06,-0.0656168,9.9343832,0.04177091,0.0,-0.03011061,-0.02415759,0.04177091,0.0,0.1,0.1,13.57393274,2.34762533,2.47788308,3.08377672,1,Clays_silty_clay_to_clay,1,0.00033486,0.01786146,0.01819632
CPT-06,-0.1312336,9.8687664,1.764821,0.02088546,0.00669125,0.00011873,1.76486277,0.0,1.18340394,1.18726017,306.88161612,1.62548311,22.58755273,2.48069723,5,Sand_Mixtures,4,0.010946,0.75466455,0.76561055
CPT-06,-0.19685039,9.80314961,15.38213805,0.05221364,-0.04014748,-8.151e-05,15.38213805,0.0,0.33944331,0.33963894,1000.0,1.0,158.7752916,1.47476753,6,Sands_Clean_Sands,4,0.10343029,6.57748265,6.68091294
CPT-06,-0.26246719,9.73753281,34.10594899,0.03132818,-0.05018434,-4.594e-05,34.10594899,0.0,0.1,0.1,1000.0,1.0,303.20827989,1.01245036,7,Gravelly_sand_Dense_Sand,4,0.3084905,14.5838821,14.8923726
CPT-06,-0.32808399,9.67191601,41.42630118,0.02088546,-0.05352997,-4.035e-05,41.42630118,0.0,0.1,0.1,1000.0,1.0,327.6063048,1.0,7,Gravelly_sand_Dense_Sand,4,0.55756394,17.71410296,18.2716669
CPT-06,-0.39370079,9.60629921,59.07451116,0.01044273,-0.0434931,-2.299e-05,59.07451116,0.0,0.1,0.1,1000.0,1.0,423.63668451,1.0,7,Gravelly_sand_Dense_Sand,5,0.79435219,25.26056982,26.054922
CPT-06,-0.45931759,9.54068241,71.25073177,0.02088546,-0.35129041,-0.00015394,71.25073177,0.0,0.1,0.1,1000.0,1.0,470.16700727,1.0,7,Gravelly_sand_Dense_Sand,5,1.07994635,30.46718541,31.54713176
CPT-06,-0.52493438,9.47506562,87.9382108,0.07309909,-0.31448855,-0.00011166,87.9382108,0.0,0.1,0.1,1000.0,1.0,539.62877591,1.0,7,Gravelly_sand_Dense_Sand,5,1.4324289,37.60283868,39.03526758
CPT-06,-0.59055118,9.40944882,98.82997589,0.12531273,-0.4382766,-0.00013846,98.82997589,0.0,0.12679628,0.12683295,1000.0,1.0,568.25216938,1.0,7,Gravelly_sand_Dense_Sand,5,1.82856889,42.26021438,44.08878327
CPT-06,-0.65616798,9.34383202,106.97530358,0.14619819,-0.63566836,-0.00018553,106.97530358,0.0,0.13666537,0.13670639,1000.0,1.0,580.2738649,1.0,7,Gravelly_sand_Dense_Sand,5,2.25735779,45.74319908,48.00055687
CPT-06,-0.72178478,9.27821522,110.61981558,0.16708364,-0.77283889,-0.00021814,110.61981558,0.0,0.15104314,0.15109186,1000.0,1.0,569.25271409,1.0,7,Gravelly_sand_Dense_Sand,5,2.70075497,47.30161147,50.00236643
